Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
47390,"8,971.39","8,971.39",4/27/2012
47390,"3,995.59","3,995.59",4/27/2012
47390,"43,309.83","43,309.83",4/27/2012
47390,"98,013.55","98,013.55",4/27/2012
48509,641.50,641.50,4/26/2012
48509,"23,536.64","23,536.64",4/26/2012
47946,"46,398.42","46,398.42",4/27/2012
47941,"16,055.39","16,055.39",4/27/2012
47944,451.84,451.84,4/27/2012
49503,"2,000.00","2,000.00",4/30/2012
49503,"1,500.00","1,500.00",4/30/2012
49578,"5,820.06","5,820.06",4/30/2012
49602,"31,293.63","31,293.63",4/30/2012
49583,"15,076.28","15,076.28",4/30/2012
49536,"4,333.33","4,333.33",4/30/2012
47390,"25,354.08","25,354.08",4/30/2012
42048,"10,092.13","10,092.13",4/30/2012
42048,"49,171.21","49,171.21",4/30/2012
44835,"24,571.72","24,571.72",4/30/2012
49246,"18,955.61","18,955.61",4/30/2012
48329,"55,504.56","55,504.56",4/30/2012
48329,"13,876.14","13,876.14",4/30/2012
42275,"115,441.67","115,441.67",5/2/2012
42011,"8,689.60","8,689.60",5/2/2012
47704,376.00,376.00,5/3/2012
49576,"5,544.91","5,544.91",5/3/2012
49527,"2,666.40","2,666.40",5/3/2012
49498,"31,170.95","31,170.95",5/3/2012
49523,"12,871.00","12,871.00",5/3/2012
48966,"25,483.40","25,483.40",5/3/2012
48966,"484,184.60","484,184.60",5/3/2012
46223,431.00,431.00,5/3/2012
48880,"274,307.40","274,307.40",5/4/2012
48972,"4,349.87","4,349.87",5/4/2012
49251,"1,000.00","1,000.00",5/4/2012
48970,"200,665.97","200,665.97",5/4/2012
48970,"435,469.75","435,469.75",5/4/2012
49228,"3,075.00","3,075.00",5/4/2012
49128,"10,000.00","10,000.00",5/4/2012
49128,"70,000.00","70,000.00",5/4/2012
43322,462.50,462.50,5/9/2012
49447,"10,382.08","10,382.08",5/9/2012
49621,"2,755.62","2,755.62",5/9/2012
48880,"13,032.84","13,032.84",5/9/2012
48880,"21,134.14","21,134.14",5/9/2012
48880,"93,456.70","93,456.70",5/9/2012
47859,550.00,550.00,5/10/2012
48683,"4,262.76","4,262.76",5/9/2012
49153,"9,233.97","9,233.97",5/9/2012
48683,"3,394.10","3,394.10",5/9/2012
49566,"4,325.00","4,325.00",5/9/2012
49663,"75,780.00","75,780.00",5/11/2012
49664,"105,948.16","105,948.16",5/11/2012
49250,826.80,826.80,5/10/2012
49662,"137,295.00","137,295.00",5/11/2012
49463,"11,873.00","11,873.00",5/11/2012
48785,"13,431.62","13,431.62",5/11/2012
48785,"4,747.02","4,747.02",5/11/2012
49529,"9,000.00","9,000.00",5/11/2012
49613,"21,800.00","21,800.00",5/11/2012
49523,"28,752.00","28,752.00",5/11/2012
49630,"9,180.00","9,180.00",5/11/2012
42822,"7,555.66","7,555.66",5/14/2012
49547,"66,338.25","66,338.25",5/14/2012
49471,"2,418.82","2,418.82",5/14/2012
49134,"57,758.86","57,758.86",5/14/2012
48010,"35,368.69","35,368.69",5/14/2012
47942,"39,768.44","39,768.44",5/14/2012
48359,669.00,669.00,5/14/2012
48768,119.93,119.93,5/14/2012
494936,490.44,490.44,5/14/2012
494936,229.38,229.38,5/14/2012
494928,"6,829.00","6,829.00",5/14/2012
42011,"6,985.62","6,985.62",5/14/2012
46464,"7,621.23","7,621.23",5/15/2012
46464,272.09,272.09,5/15/2012
47868,"4,294.24","4,294.24",5/15/2012
47868,"4,228.24","4,228.24",5/15/2012
49448,"5,000.00","5,000.00",5/16/2012
43924,"36,438.75","36,438.75",5/16/2012
49168,"20,416.67","20,416.67",5/16/2012
49565,"18,112.50","18,112.50",5/16/2012
49355,856.64,856.64,5/16/2012
48397,"18,130.00","18,130.00",5/17/2012
49608,"1,363.64","1,363.64",5/21/2012
49610,"5,000.00","5,000.00",5/21/2012
49537,"10,937.20","10,937.20",5/21/2012
49534,"5,366.26","5,366.26",5/21/2012
49550,"10,000.00","10,000.00",5/21/2012
49550,"5,000.00","5,000.00",5/21/2012
49550,"13,278.68","13,278.68",5/21/2012
49512,"4,250.00","4,250.00",5/21/2012
49543,"3,200.00","3,200.00",5/21/2012
42011,"31,922.75","31,922.75",5/21/2012
49128,"25,000.00","25,000.00",5/21/2012
43457,"16,953.13","16,953.13",5/21/2012
48894,"1,122.00","1,122.00",5/21/2012
46464,"2,965.17","2,965.17",5/21/2012
48329,"24,571.80","24,571.80",5/21/2012
48329,"3,570.75","3,570.75",5/21/2012
48329,"2,572.20","2,572.20",5/21/2012
48403,"8,102.50","8,102.50",5/21/2012
49499,"25,934.00","25,934.00",5/21/2012
49526,"44,433.24","44,433.24",5/21/2012
49626,"3,000.00","3,000.00",5/21/2012
49626,"2,000.00","2,000.00",5/21/2012
49605,"13,889.00","13,889.00",5/21/2012
37975,"2,695.83","2,695.83",5/21/2012
37975,"2,304.17","2,304.17",5/21/2012
49246,"44,437.54","44,437.54",5/21/2012
42048,"56,401.77","56,401.77",5/21/2012
42048,"21,171.02","21,171.02",5/21/2012
42048,"12,955.26","12,955.26",5/21/2012
48128,"9,474.50","9,474.50",5/22/2012
48128,"1,040.00","1,040.00",5/22/2012
49537,"10,937.50","10,937.50",5/25/2012
49627,"3,000.00","3,000.00",5/25/2012
48329,"14,282.97","14,282.97",5/25/2012
48329,"8,435.03","8,435.03",5/25/2012
48329,"5,679.50","5,679.50",5/25/2012
47868,"4,234.58","4,234.58",5/25/2012
48768,805.28,805.28,5/29/2012
49637,"3,361.22","3,361.22",5/29/2012
49576,"1,985.29","1,985.29",5/29/2012
49498,"32,707.33","32,707.33",5/29/2012
49579,"22,000.00","22,000.00",5/29/2012
49631,"5,000.00","5,000.00",5/29/2012
49536,"4,333.34","4,333.34",5/29/2012
49535,"2,838.08","2,838.08",5/29/2012
49539,324.11,324.11,5/29/2012
49681,"10,431.90","10,431.90",5/29/2012
48880,"249,181.20","249,181.20",5/31/2012
42275,"115,441.67","115,441.67",5/31/2012
42011,"11,640.66","11,640.66",5/31/2012
48970,"435,469.75","435,469.75",5/31/2012
48970,"151,277.91","151,277.91",5/31/2012
48966,"78,290.18","78,290.18",6/1/2012
48966,"4,120.54","4,120.54",6/1/2012
48972,"4,349.87","4,349.87",6/1/2012
49228,"3,075.00","3,075.00",6/1/2012
49251,"1,000.00","1,000.00",6/1/2012
494928,"3,455.00","3,455.00",6/1/2012
494928,"1,367.00","1,367.00",6/1/2012
49583,"7,951.00","7,951.00",6/1/2012
49630,"36,082.80","36,082.80",6/1/2012
49613,"9,154.32","9,154.32",6/1/2012
49433,"7,900.00","7,900.00",6/4/2012
46464,"15,023.25","15,023.25",6/4/2012
47704,376.00,376.00,6/4/2012
49251,"2,700.00","2,700.00",6/4/2012
49463,"2,761.00","2,761.00",6/5/2012
42822,"7,555.66","7,555.66",6/7/2012
42011,"9,477.10","9,477.10",6/7/2012
49694,"1,250.00","1,250.00",6/8/2012
47660,750.00,750.00,6/8/2012
49500,"10,000.00","10,000.00",6/8/2012
49652,"28,000.00","28,000.00",6/8/2012
49521,"1,032.84","1,032.84",6/8/2012
49519,"8,920.84","8,920.84",6/8/2012
49528,"3,969.75","3,969.75",6/8/2012
49623,"8,274.00","8,274.00",6/8/2012
49527,"2,666.40","2,666.40",6/8/2012
49598,"1,050.00","1,050.00",6/8/2012
49651,"4,184.90","4,184.90",6/8/2012
49477,"9,724.44","9,724.44",6/8/2012
49630,"19,057.39","19,057.39",6/8/2012
49574,"46,582.85","46,582.85",6/8/2012
49606,"9,000.00","9,000.00",6/8/2012
48010,"10,974.73","10,974.73",6/8/2012
49615,"51,350.00","51,350.00",6/8/2012
49565,"3,887.50","3,887.50",6/8/2012
48564,"18,756.00","18,756.00",6/11/2012
48564,"98,074.00","98,074.00",6/11/2012
48984,"38,256.66","38,256.66",6/11/2012
43457,"20,156.22","20,156.22",6/11/2012
49083,"3,868.00","3,868.00",6/12/2012
494936,273.02,273.02,6/12/2012
494944,58.50,58.50,6/12/2012
49663,"119,803.50","119,803.50",6/12/2012
49664,"71,211.39","71,211.39",6/12/2012
49662,"46,350.00","46,350.00",6/12/2012
48588,832.01,832.01,6/12/2012
48588,"28,867.34","28,867.34",6/12/2012
48588,"4,464.98","4,464.98",6/12/2012
48304,"38,738.22","38,738.22",6/13/2012
49187,"6,000.00","6,000.00",6/13/2012
49611,"4,500.00","4,500.00",6/13/2012
49611,406.00,406.00,6/13/2012
49611,"14,164.02","14,164.02",6/13/2012
49168,"20,416.67","20,416.67",6/14/2012
494952,"1,773.00","1,773.00",6/14/2012
494936,77.53,77.53,6/14/2012
494936,164.88,164.88,6/14/2012
48830,"29,721.57","29,721.57",6/15/2012
49170,"4,468.70","4,468.70",6/15/2012
49471,"2,418.84","2,418.84",6/15/2012
49487,"175,000.00","175,000.00",6/15/2012
49487,"2,308.00","2,308.00",6/15/2012
49512,"8,500.00","8,500.00",6/15/2012
